0,-3,-2,-2,1,1,1,-3
-2,-1,2,4,2,-3,0,0
0,-3,-4,-9,-8,-1,-1,2
0,2,2,20,5,1,0,-1
-1,0,-3,-28,-8,1,-1,1
0,1,-6,-1,-1,0,0,0
2,1,2,11,4,3,1,0
0,0,0,-3,-1,-2,-3,1
-2,2,5,9,-1,-1,-3,-5
-3,-5,-3,-2,-1,2,1,-2
-1,-1,0,-2,-1,-1,1,2
-1,-2,-1,-4,-2,-4,-2,-1
-2,-1,-2,-8,-5,-5,-1,-1
1,1,1,2,-3,1,0,0
-3,-2,-4,-9,-5,-1,-2,-3
-1,0,-1,-7,-2,1,1,-1
2,1,1,13,5,-1,0,0
-3,-2,-2,-13,-3,-1,-3,-3
2,-2,-3,-4,-4,1,-1,0
0,-3,-2,-5,-1,0,0,0
0,-3,-4,3,1,-2,0,1
-1,-1,1,-2,-3,1,-1,-1
0,4,1,10,8,2,1,0
2,1,-2,-10,-5,0,-1,-3
2,-2,-5,-8,-4,-1,-1,0
1,-1,0,3,0,-1,0,-1
-4,1,3,1,1,-3,-1,-1
-4,-4,-2,1,3,-3,-1,-1
2,0,6,13,3,0,-1,0
-2,0,-4,-12,-6,3,2,0
1,-3,-1,1,2,0,-1,-2
0,-2,-2,-8,-6,0,-3,-1
-1,2,1,3,2,-4,1,-2
-1,-3,-3,4,2,0,-1,1
-4,-2,-1,-2,-1,-2,-1,-4
-1,1,-4,-19,-11,0,-2,-1
-2,-3,1,0,0,-2,-2,-1
-1,-3,-1,11,0,-2,-1,-2
0,-2,-4,10,4,-3,0,-1
1,1,2,-1,6,-1,-1,0
-3,-2,-2,9,0,1,1,0
-1,-1,-6,-26,-10,-2,-3,0
-2,-1,1,-1,1,-2,0,-1
1,1,-1,-4,-5,0,-2,-1
-1,-3,-3,0,0,1,0,-3
0,1,-2,9,6,-2,0,-2
1,-1,0,-12,-8,3,0,0
-2,0,-1,7,1,-1,-2,0
0,1,-3,-6,-3,-1,1,-1
0,-2,-2,-4,-5,-2,-3,0
0,0,-2,4,3,0,-1,1
0,1,-1,5,2,1,1,0
2,-1,0,4,2,-1,1,-2
0,-1,-2,-3,-7,-1,-2,-1
1,2,3,3,-2,-2,-2,-1
-5,-4,0,-1,-3,2,0,-4
2,0,-3,-7,2,2,-2,1
2,1,3,6,0,-1,1,-2
1,-2,-1,-2,0,-4,-1,-1
1,0,1,1,1,0,-1,0
-2,0,-1,-11,-3,-3,-1,1
-2,-1,-2,9,6,1,1,1
-2,0,-1,0,-1,2,1,0
1,-1,-3,-4,-5,0,-3,-2
-1,0,0,-1,-3,-3,-1,-2
0,-1,-1,-5,-1,2,-2,0
0,1,-1,8,2,-1,0,-1
-2,0,-3,-17,-5,1,1,0
-1,-2,-3,3,0,0,-3,-1
-1,1,3,0,-1,1,1,0
0,-1,-1,2,-1,-1,-1,-1
1,2,2,2,1,-1,0,0
-1,-4,-5,-1,0,1,0,3
2,3,5,2,1,1,-1,-1
-1,1,-1,2,3,0,-2,0
-3,1,0,2,-2,2,1,-3
1,-2,-2,-12,-5,1,1,2
-1,1,1,12,7,-1,-1,0
-1,-1,5,-3,-1,-1,-2,-4
2,-5,-9,-4,-6,0,-1,4
-1,-2,1,5,1,1,-1,-2
-3,-2,-3,-11,-7,-2,-2,-2
1,-1,-1,-5,-2,0,2,-1
0,2,8,9,6,-2,0,-1
-2,-4,-6,-7,-4,0,-4,-2
2,0,-2,-2,-1,0,2,0
-1,-1,-2,-5,-3,0,-2,0
-1,-1,-3,11,1,0,-1,0
2,1,0,2,1,4,1,-2
-2,-1,-2,-1,-1,-3,-4,-2
0,-1,-2,3,2,-2,-2,-1
0,-1,6,-3,-2,0,0,0
-2,-1,-2,1,2,0,0,-2
-1,-1,-1,-9,-7,1,-1,0
0,-1,-2,5,0,5,3,0
-4,-2,-1,5,4,-2,-4,-4
0,1,-4,-18,-11,-2,1,0
1,-1,0,8,6,0,-1,0
-2,0,-3,-6,-7,-1,0,0
1,-2,-1,0,2,-3,-2,1
0,2,2,9,7,0,-1,-1
-4,-2,-3,-6,-4,-3,-1,-1
0,-2,0,4,0,-1,-1,-2
3,0,-2,-3,0,-3,1,-3
-3,-3,2,6,0,-1,-2,-4
0,2,-1,0,-1,3,2,1
-3,-2,-3,-14,-5,-2,-2,-1
-4,-2,-2,-4,-2,-2,1,-2
-2,-1,0,7,2,-3,1,-2
-2,1,-2,-9,-6,-1,-3,1
0,0,-2,-10,-2,0,-1,-1
2,-1,-2,-1,-4,0,-3,2
0,4,0,4,0,-2,-2,3
-3,-4,0,-2,1,1,0,-5
-1,0,-1,-2,0,-1,0,-1
-2,0,-3,-5,2,-2,-1,-4
-1,0,2,-1,-3,-3,1,0
2,1,-2,6,0,-1,-2,1
-2,1,2,0,0,1,-1,1
-1,-2,1,2,2,1,-1,0
-1,-3,-5,-2,2,-1,-1,-1
0,-1,1,0,3,1,1,0
3,-1,-2,-7,-4,-1,-2,2
-2,1,1,3,1,1,0,0
2,0,0,2,-1,-3,-3,-1
0,-2,-1,-8,-10,0,-1,0
0,0,0,5,0,0,-1,0
-2,-1,-1,-2,-3,-1,0,-1
-1,-2,0,-5,-1,2,-1,1
1,0,1,3,3,0,-1,-2
-1,-3,0,7,1,1,0,1
1,-2,-4,-7,-1,0,0,0
0,-2,1,-1,0,-1,-2,-1
4,-1,0,7,4,1,1,1
0,1,0,-4,-2,1,-1,-3
-1,-2,0,-2,2,2,0,-1
1,-2,-1,-2,-2,0,-1,-1
-2,1,0,1,-1,0,0,1
-3,-2,-2,0,-4,-2,-4,-1
-2,-1,0,0,-2,-1,0,0
-1,3,0,-4,-2,2,0,-2
0,-1,2,0,2,-3,1,0
-1,-3,-3,-2,0,1,0,1
0,0,-4,-1,2,-1,0,0
-3,-2,1,0,-1,1,-1,-1
2,-1,-3,-3,-2,-2,1,0
2,1,1,0,-1,-3,-1,1
-1,-2,-2,-7,-3,-2,0,-2
0,-2,-2,1,0,0,1,-2
-2,2,0,-1,1,3,0,-1
-1,-2,1,9,2,-1,-1,0
0,0,-2,-9,-4,-1,0,-2
-1,1,0,3,0,-2,-1,1
-2,-3,-3,-3,-2,-1,-4,2
-1,0,-3,4,4,1,2,0
-4,-3,-2,-5,-6,-1,-2,1
-1,-3,-1,-1,4,2,0,0
-1,0,2,1,-3,-1,2,-3
0,-1,-2,1,5,1,1,-3
2,0,-4,-10,-5,-2,1,0
-3,0,-1,-4,-3,2,-1,-2
-1,0,0,5,5,-3,-2,-1
0,-2,-2,-4,-2,-2,-2,0
0,-1,-3,0,-4,1,-2,-4
-3,0,-1,-2,1,-3,-1,-1
1,2,1,3,3,1,-2,-3
-1,2,3,-1,-2,-1,-1,0
0,0,1,4,2,-3,-2,2
1,3,1,-2,-1,-3,0,0
-2,-3,-8,-8,-9,-3,-1,-3
-3,-1,0,-3,-3,-2,-2,-2
-4,-2,-2,-1,-5,1,-2,-1
0,-2,-2,-5,-3,3,-2,-1
1,-2,4,4,8,-4,0,-1
1,-1,-6,-15,-14,-5,-1,2
1,-1,0,4,2,-1,-1,-1
0,0,0,1,-2,-5,0,0
-1,0,-2,0,-2,1,0,0
1,-1,2,3,6,1,4,0
-2,-1,-3,2,-1,4,0,0
0,0,-3,1,3,-6,-2,-4
-3,0,-3,-5,-5,0,1,-2
-1,-1,3,-2,-1,0,-1,-1
1,1,3,6,2,-1,1,1
-2,-2,1,5,7,4,3,-2
-2,0,-4,-6,-7,-3,-4,-1
-1,2,1,0,0,-1,1,-1
1,-1,-1,-4,0,-1,0,-2
-1,-1,-4,-2,-2,-3,-1,0
-1,0,2,-5,0,-2,0,0
1,-2,-1,2,1,1,1,-1
2,-3,-5,-5,-1,1,-1,-2
1,1,0,1,-4,-2,-1,-1
0,0,-1,1,1,2,-1,0
-1,-1,-1,-4,-2,3,-1,1
-2,2,1,5,3,-1,-1,-3
-3,-2,-6,-10,-4,0,0,1
0,-4,-3,-1,-3,-2,1,-1
0,-1,3,2,-1,-2,0,1
-2,0,-3,-2,2,1,-1,-1
0,-2,0,-2,-5,-1,0,0
0,-1,-1,4,4,-1,1,1
-2,-2,-3,-7,-5,1,-1,-1
1,1,2,6,3,-2,1,2
0,-1,2,5,1,-1,-2,-1
1,-1,0,-2,-1,2,-1,-2
-2,-1,-3,1,1,0,-2,-2
1,0,0,-3,-4,-4,0,-2
0,-1,-1,-5,-4,-2,-2,0
4,0,0,1,2,3,0,3
-2,-1,-2,-1,1,0,-1,-4
-2,-1,0,3,1,-3,-1,1
-2,-3,-1,-1,-2,-1,0,-3
1,0,1,0,-6,0,-2,1
-1,-1,-5,-6,1,-3,1,0
0,2,0,0,1,3,-1,0
1,1,0,2,2,-1,-3,-2
-2,-2,-1,0,2,1,1,0
-1,0,-2,4,-1,2,0,6
-1,-1,-2,-2,-3,-2,0,-1
-2,-2,2,0,-2,-2,2,-1
-2,0,0,1,5,-2,-1,-3
1,-1,1,-1,-4,-3,-1,0
0,-2,2,-1,-2,0,0,1
1,0,-6,-2,-4,1,-2,0
-2,-2,-3,-2,0,-3,1,-2
0,0,1,2,0,1,-4,0
1,-1,0,3,3,0,1,-3
-1,-1,-2,-5,-4,-1,0,0
1,1,-2,-2,-3,-1,0,1
-2,0,-1,2,2,-1,-1,-5
-2,-1,3,2,-1,-2,-2,-2
1,-2,-7,-18,-5,3,0,5
1,0,1,-1,-1,0,-2,-2
0,1,1,1,0,-1,1,-2
-2,-2,-1,4,4,-1,0,-2
0,1,4,7,1,0,2,0
0,-2,-4,-1,-4,-1,-3,-2
0,-1,-3,1,1,-1,0,0
-1,0,-1,-9,-3,1,0,-1
-2,-2,-3,-1,-6,-3,-3,-3
0,0,-1,-7,-3,3,0,0
-2,0,3,2,-1,4,1,-2
2,0,-5,-5,-3,-6,-1,0
-1,-3,-3,2,4,1,1,-2
-1,1,3,1,0,-2,-6,0
0,0,-3,-1,0,-2,-1,-3
-1,2,2,-3,-2,1,-1,-1
-2,-4,-5,1,7,0,0,-4
-3,0,1,2,-1,0,1,3
-1,-2,1,-8,3,-2,1,0
-2,-4,-2,2,-1,-2,1,0
-1,1,2,8,4,-2,-3,-1
-1,-2,-2,-6,-2,-2,-2,-1
-2,-1,0,3,-1,0,0,-3
2,-2,-4,-5,-3,1,-1,-1
0,0,1,-4,-3,-5,-1,0
1,0,-1,3,3,1,-2,-1
0,-3,-1,-3,-2,1,-1,-1
-1,-2,-1,-1,-1,-1,-1,-1
-1,0,0,2,1,1,-2,1
2,1,-1,2,2,-4,1,-1
0,-3,-5,-6,-7,1,-4,1
-1,-1,1,1,1,-3,0,1
-1,-3,2,-2,1,2,3,-2
0,-3,-6,-1,-8,0,0,3
0,2,0,2,1,3,2,-2
-2,0,-1,-3,0,-3,0,1
-1,-3,0,4,-1,-2,-3,-2
2,-1,1,-4,2,2,2,-3
1,0,2,3,1,-6,0,0
-1,0,-4,-6,0,6,-3,1
-2,2,1,-1,0,-2,0,2
-5,-4,-5,-3,-1,0,-3,-2
1,-1,-2,-1,-2,-5,-2,-1
0,-1,2,3,1,-2,2,-1
3,-1,0,-5,-4,3,-2,1
-2,-1,0,4,0,0,2,1
-1,-2,-1,3,1,2,-1,-1
-1,-2,-5,-16,-10,1,-4,0
0,0,-2,1,2,3,0,-1
0,-1,2,2,4,-2,1,0
0,-1,-2,-1,-5,-7,-6,-1
1,-2,-4,3,-2,-6,-1,-1
1,2,1,-2,-1,1,-2,-3
2,0,0,-3,1,4,0,-1
-3,-3,-2,-1,6,3,2,-2
0,1,0,-1,-4,-4,-2,0
-1,0,-5,-10,-9,-3,1,3
0,1,0,5,1,1,2,-1
0,-1,2,1,-1,-7,-1,1
-1,1,2,6,9,11,1,-1
0,-2,0,-4,-6,-3,0,-2
-2,-1,-2,-4,-4,-6,-4,-3
3,-1,-4,-1,-4,4,1,2
-1,1,-1,3,2,-1,-1,-2
-1,1,1,8,8,3,0,0
-1,-2,1,2,1,4,4,1
-1,-1,0,-3,-1,-3,-5,-1
0,0,1,1,-5,-13,-5,1
-1,-1,-3,-2,1,3,0,-1
2,-2,-2,-1,-5,-1,-5,0
-1,0,-1,-5,3,8,4,2
1,-2,-2,-1,-1,4,2,1
-2,0,3,3,2,-5,-4,-2
0,-1,0,8,2,-7,-1,-2
-4,-5,-7,-22,-13,-2,-2,-3
-3,-3,0,2,5,-2,1,-1
2,-1,0,1,-2,-3,-1,-1
-2,1,1,-1,6,14,0,1
0,1,4,9,2,-10,-1,-4
-1,0,-5,-5,-6,-14,-14,-5
-3,-2,-3,-1,2,3,0,-1
3,-1,0,-3,0,-2,0,2
4,0,3,4,3,8,0,4
-2,-4,0,4,0,6,5,0
0,-1,0,6,2,-4,-4,-1
0,0,-2,-12,-6,-1,0,2
0,5,6,23,6,1,-4,-3
0,-6,-11,-49,-21,-1,-3,-2
1,1,4,7,4,4,1,-1
-4,-1,-1,2,2,-1,1,-5
1,2,0,-7,-5,-5,-3,0
0,2,4,16,5,2,-3,-1
-3,-3,-3,-15,-11,0,1,-3
-2,-3,-4,-5,-4,-4,-2,-2
-2,0,1,7,-1,0,0,2
1,1,-3,2,1,4,2,3
-1,-3,-4,-7,-3,-5,3,-1
-2,-1,2,19,9,2,-4,-2
1,-3,-2,-17,-8,-5,2,-5
-2,-3,-9,-6,-6,2,-4,-1
1,2,3,6,6,4,3,3
-1,-2,-1,-2,-5,-7,-2,-2
-2,1,2,2,5,-3,1,0
-3,0,3,4,0,2,11,3
-1,0,-4,-2,1,-7,-13,-5
-1,-1,0,-2,-7,-1,4,-1
-3,-2,-2,-12,-7,7,-3,-1
-1,-2,1,5,2,3,-1,-4
-2,-4,-3,-7,-8,1,1,2
-3,-4,-5,-9,-1,3,-3,-4
0,1,1,14,10,12,0,4
-1,-1,1,-12,-15,-30,-6,-7
1,-1,-5,0,2,7,5,3
-4,-4,1,1,-2,-16,-1,-8
1,3,-6,-7,-8,-5,-12,-1
-4,-3,7,11,18,27,9,3
1,-1,-2,4,1,5,-2,0
1,3,1,-10,-9,-52,-5,-1
-4,-2,-3,4,0,-6,8,-1
0,1,0,9,-2,-6,-15,-7
-6,-4,-2,-10,-3,14,2,-4
4,6,6,16,12,35,9,6
-2,-5,-4,-10,7,8,0,-1
4,4,1,4,-8,-26,1,-1
-2,1,6,10,9,25,4,3
1,0,0,6,3,-30,-2,-1
-3,-3,-1,-6,-8,-11,-9,-7
-3,-5,-11,-12,-5,26,10,3
4,3,1,-1,6,4,7,5
-2,0,3,9,-4,-22,-11,-5
4,3,-7,-12,-2,7,0,2
-1,2,11,7,13,2,4,1
0,2,4,14,-1,-7,-5,-5
1,-3,-4,-9,6,40,14,8
1,-1,2,10,1,11,6,5
-3,-3,-5,-10,-11,-20,-6,-3
1,3,-2,-5,-6,-8,-5,-4
-2,-1,2,0,4,19,-2,2
-1,-4,-7,2,-6,-24,-13,-6
-3,-3,-8,8,13,29,5,-4
1,-3,8,-2,-3,15,-5,2
0,2,-6,-15,-13,-5,-17,-7
-4,-7,-12,-13,1,-15,7,2
1,0,10,30,9,-9,-14,-6
4,5,-7,-2,-10,-12,1,5
-4,0,4,-10,6,58,16,-7
1,7,8,-8,-11,-65,-32,-4
5,-5,1,2,12,-25,13,15
-4,0,7,25,8,22,-2,-10
10,4,-4,-1,-7,-46,-3,15
0,1,-2,-10,1,44,12,-5
-4,-4,-3,12,-12,-31,2,-7
4,-3,-5,-15,2,26,16,14
-4,-5,-4,3,2,-5,5,-5
-4,3,13,20,14,39,-9,-7
5,3,-12,-32,-24,-25,-10,3
-8,-10,-3,5,12,3,-1,-6
1,0,-4,-3,-8,-25,-6,-4
-1,-1,4,8,-1,12,10,3
2,2,2,1,9,26,3,2
4,7,2,4,-15,-80,-14,-5
-3,-11,-9,-13,14,54,15,3
2,-3,3,3,-8,-25,-12,0
1,3,-2,-6,-25,-32,-16,-6
-1,-1,-4,-11,-3,7,2,0
3,3,-5,-6,-6,-20,-16,3
1,-7,-8,13,24,41,20,0
1,3,13,8,-10,0,-1,5
-2,-7,-19,-29,-4,5,5,2
-3,-3,4,12,-10,-13,-8,-3
-2,-5,-7,-20,9,51,2,-4
-4,3,10,5,-5,-1,2,-5
-4,-6,-12,5,4,-33,-19,-7
5,1,5,1,6,34,6,13
-2,2,1,-2,-20,-19,1,-5
-1,-4,-3,6,12,9,4,-2
3,5,11,5,2,7,16,10
-6,0,-7,-2,5,9,-2,-10
4,8,20,30,16,6,-4,5
2,4,2,-27,-18,-40,10,11
-6,-6,-3,4,0,-3,-10,-20
-1,-6,7,22,21,38,9,4
2,-3,-26,-47,-56,-73,-17,-1
-2,-3,-1,24,42,68,16,-1
6,8,6,-5,0,-77,-13,8
-12,-9,-6,-11,-28,-33,-16,-15
-1,-9,-4,18,44,53,27,8
-5,0,-7,-47,-58,-57,-42,-10
-1,-4,1,15,11,25,2,-4
4,3,-4,7,13,42,15,5
-5,4,1,0,-20,-28,-16,-5
-5,-11,-8,14,26,35,14,3
-4,-1,3,-4,-7,50,17,2
4,5,-11,-33,-33,-96,-51,-9
-6,-5,-2,-2,21,56,15,-4
5,2,1,1,16,12,6,9
-7,-4,0,-1,-15,3,-10,-11
1,-3,-7,-28,-24,0,7,8
-1,-4,2,42,12,-43,-10,-7
1,3,6,-10,5,-3,-1,-5
-1,-5,-7,-6,-4,-46,6,2
-9,-2,-2,-3,-28,-33,-20,-22
3,3,5,-1,-4,6,21,15
-2,0,2,12,18,26,1,-2
7,12,19,45,21,-3,19,12
-6,-10,-12,-53,-15,-8,-20,-6
3,1,-4,6,-21,-84,-18,-9
2,3,7,1,1,22,13,4
-3,-7,-5,13,33,82,12,0
2,5,-3,-4,-25,-24,-10,6
-9,-6,-4,-18,12,73,17,-5
3,-2,-20,-43,-52,-77,-32,-1
-3,1,9,25,10,-9,-15,-15
0,-9,-12,-18,10,15,24,7
-4,0,0,8,-2,3,-19,-10
2,5,4,9,14,18,13,2
2,-3,-11,-38,-7,62,-5,8
4,6,12,37,1,-56,-6,-4
0,2,2,3,7,42,7,6
-3,-7,-7,3,1,-39,-6,-4
-4,1,9,-6,13,53,-1,-1
5,2,2,-11,-21,-10,11,8
-4,0,-5,-4,-2,-23,-4,-3
2,-1,9,15,37,100,16,7
2,2,-13,-19,-48,-110,-19,-1
-1,0,7,16,31,40,18,2
-1,1,5,-3,-7,-25,-2,-1
-1,-3,1,21,27,67,16,0
1,5,14,35,22,36,6,6
-1,3,-6,-47,-33,-36,-7,-5
2,-9,-13,-18,-9,-30,5,2
2,0,-5,0,20,-1,-4,7
-6,-3,-7,-8,-31,-59,-3,-12
3,-3,-1,28,50,28,11,11
-1,0,-9,-27,-44,-17,-28,-9
-3,-3,-9,-17,-7,20,-11,-4
1,-7,-14,-12,-13,-65,13,5
-11,4,23,41,41,41,25,-7
7,3,3,-16,-9,-19,-10,8
-7,-4,-3,38,15,5,-8,-16
3,2,-3,-29,-11,-46,-9,11
-10,-6,0,21,1,3,0,-18
7,6,17,29,27,56,31,13
-2,1,3,12,-21,-14,-24,-1
4,1,7,1,13,22,33,6
-2,0,-11,-19,-12,-17,-30,-11
-9,-16,-24,-31,7,16,2,-6
5,3,2,18,-13,-42,-5,3
-11,-6,-5,-14,5,20,-8,-12
9,6,7,12,-8,0,8,7
-15,-15,-24,-55,-46,-16,-13,-13
5,9,20,11,40,16,0,10
0,3,1,2,-30,16,2,-3
-4,-6,4,38,23,-56,-13,2
2,11,-5,-8,-29,-14,-26,-19
-21,-22,-20,-55,-31,-25,1,-16
6,-3,-1,6,2,4,-13,0
0,1,6,30,16,13,8,7
8,10,17,37,35,41,19,8
-2,-1,-6,-12,-20,-38,-8,2
-5,-4,-9,-4,-7,-3,-19,-13
5,-5,3,-11,11,66,36,22
-6,-5,-7,-2,-14,-75,-26,-17
2,6,9,19,-4,8,18,-2
-2,-5,3,7,46,72,4,7
1,2,-4,-14,-36,-9,-7,-6
-1,-1,9,20,16,28,10,7
3,2,-3,-28,-15,-6,-8,-1
-4,-2,8,29,17,10,3,-5
4,2,-8,-11,-16,-30,-5,3
2,-1,0,-7,-3,-8,-12,-1
2,2,9,31,8,-28,-1,-1
3,3,1,-5,2,-5,9,11
4,5,14,39,50,59,29,16
-9,-8,-31,-82,-69,-92,-44,-26
3,-4,4,5,32,64,39,7
2,0,-11,-20,-33,-34,-19,-3
-2,-3,3,0,34,71,8,3
10,12,16,32,5,-6,22,19
-9,-9,-11,4,-7,-27,-10,-14
-5,-5,-1,-18,5,35,-1,-9
2,1,-3,-3,-22,-9,-8,-3
9,-1,16,57,49,8,34,26
-4,-3,-21,-52,-73,-59,-42,-30
2,-4,5,13,11,-70,5,14
-7,-7,-10,-20,-9,8,2,-13
7,13,22,32,7,8,8,11
4,3,-1,-6,15,27,10,9
-3,-2,5,16,36,71,16,-3
-6,-8,-27,-47,-49,-15,-20,-13
2,3,12,30,23,-28,11,9
-6,2,5,2,-4,40,10,-9
4,-1,-7,-15,-29,-40,-24,-1
-1,3,5,-3,-17,-27,-16,-9
0,-4,6,14,41,97,28,6
-4,-3,-7,-2,-28,-94,-31,-6
8,6,1,-10,-3,8,13,5
-11,-5,-3,-2,-8,-53,-30,-12
0,-5,-16,-5,-2,-15,0,2
0,-3,7,16,12,43,12,4
4,8,6,12,-12,-7,2,8
-9,-4,-8,-28,-18,-19,-19,-17
-5,-3,-7,-21,-1,21,0,-11
9,7,22,40,46,43,25,26
-13,-9,-27,-45,-39,-33,-21,-27
9,10,20,56,15,-1,1,9
-13,-15,-21,-48,-17,-18,2,-10
3,2,14,24,67,94,30,16
-1,-4,-15,-14,-61,-68,-36,-16
5,6,14,13,21,17,16,4
-10,-7,-3,3,1,17,-2,1
3,-2,-5,3,11,16,0,1
0,1,4,16,-11,-16,-3,3
-4,-2,13,24,21,-43,20,11
-6,-4,-30,-57,-59,-41,-60,-37
5,-1,-6,-41,-11,-5,15,16
-9,-9,-4,-4,14,-21,-7,-11
4,2,7,36,43,52,21,5
8,9,20,31,-14,-89,20,23
-18,-10,-25,-49,-39,-105,-43,-42
0,3,9,10,19,53,13,10
4,-2,-8,-18,20,55,1,7
0,-1,7,15,-14,5,-3,4
-2,-8,-28,-59,-54,-55,-25,-16
3,4,17,32,40,-11,23,14
-7,-9,-17,-42,-17,27,-2,-15
0,0,3,11,24,21,-3,8
1,0,12,60,53,25,21,7
-6,1,-10,-46,-51,-10,-30,-16
7,7,9,-1,2,-9,8,5
-1,-3,-2,-2,12,18,12,7
1,0,-13,-37,-34,-31,-20,5
-9,-5,-3,4,28,20,-3,-12
12,3,0,0,-26,-61,11,20
-5,1,7,9,33,92,-1,-18
9,9,8,11,-24,-51,-5,9
3,1,5,18,10,47,12,5
4,-2,-13,-37,-25,-67,-24,-4
-2,3,8,7,26,31,1,-2
7,6,15,44,16,36,25,8
-3,-7,-16,-39,-16,-2,16,5
-6,-3,-2,13,5,26,-44,-15
12,7,7,3,10,33,6,13
-6,5,0,-3,-28,-41,-15,-16
-1,-3,4,26,35,70,4,-1
1,-3,-9,-28,-33,-35,4,5
-4,-7,-14,-33,-12,-23,-1,-4
-8,-5,-1,1,-3,-9,-14,-12
5,3,3,5,11,16,7,5
-4,-5,-6,-1,14,49,5,7
2,6,5,23,-20,-63,-32,-16
-5,-9,-5,-8,-2,31,25,4
6,7,15,46,8,-22,1,7
-12,-9,-18,-59,-21,10,0,-7
0,-3,0,2,-3,-59,11,1
-3,2,-1,-3,18,39,-17,-10
5,2,5,5,-6,-20,7,7
2,3,3,24,13,-27,0,8
-4,-4,3,12,24,15,12,-3
-2,-6,-6,-20,-29,-18,-28,-7
0,-2,-6,-14,0,17,15,4
2,3,3,4,-5,-21,7,0
-10,-12,-8,3,21,24,-6,-10
14,10,17,56,11,-68,26,24
-12,-10,-18,-46,-29,-55,-33,-27
-5,-9,-10,-36,6,59,21,0
1,-2,-1,-18,-20,9,-1,7
3,10,5,21,33,82,8,4
4,-2,-2,-6,-28,-56,-22,2
-5,-3,9,44,48,12,8,-7
-5,0,-8,-25,-52,-16,-29,-19
-2,-6,-6,-11,7,42,2,-1
-3,1,5,19,13,41,18,9
9,12,8,20,-6,-10,-12,5
-5,3,6,-5,-4,-1,-1,3
-6,-12,-11,-11,7,-37,-16,-12
8,8,4,10,41,64,10,7
-21,-12,-4,4,-57,-24,-22,-25
6,8,17,66,47,61,22,10
9,8,-4,-43,-16,-16,-2,6
-8,-11,-5,-16,9,26,14,5
5,2,0,10,17,22,7,-1
8,8,-1,-2,-24,-75,-12,9
-9,-7,2,26,21,39,-2,-11
5,2,-5,-27,-16,1,5,1
4,5,8,11,2,-14,-20,-3
-2,-9,-10,0,0,-23,1,4
-6,-4,-7,-46,-21,-9,8,-3
0,2,6,26,1,-42,-19,-4
3,-4,-11,-8,-4,10,2,3
9,9,12,-8,25,32,20,8
-7,-11,-7,19,3,10,1,0
4,4,2,3,-19,-42,-11,1
-6,-5,-6,6,18,22,-3,-7
2,2,0,-8,-5,-5,-2,4
0,1,1,0,-14,-5,2,-2
-1,0,-2,-5,0,7,-8,-5
1,0,10,23,7,3,12,6
-4,-4,-13,-34,-18,13,-6,-3
3,1,-1,-3,-14,-21,-6,0
-2,-1,2,12,19,22,3,-1
3,-1,-6,-32,-21,-41,7,3
-5,-4,-4,6,1,-12,-5,-8
-4,-2,2,3,14,30,5,5
-1,1,1,12,-1,-14,1,-5
-4,-4,-8,-28,-11,3,-7,-3
0,-2,1,5,-1,8,2,-1
3,0,1,11,7,0,8,3
-4,-1,4,7,8,4,-13,-6
0,0,-1,1,-8,-5,18,0
-1,0,-3,-7,-7,4,-3,-2
2,-2,-3,-3,-7,0,-6,-3
0,0,-6,-12,-17,-17,-6,1
2,1,4,7,8,29,5,2
0,-2,-6,-6,-11,-18,-10,-3
0,-1,2,4,3,-4,-2,1
-3,-2,-1,0,-3,-8,-1,-1
1,0,-5,-16,-3,-2,-4,1
1,-1,3,12,11,11,6,-1
0,5,0,-6,-6,-7,-4,2
1,-1,-2,-1,2,2,2,1
0,-1,7,17,6,2,-1,-1
1,-1,-1,1,2,1,1,1
0,-1,-1,-20,-3,0,-3,-1
-2,-3,-8,-12,-5,-7,2,-1
0,-1,3,11,5,-4,-3,-2
-2,-1,0,1,1,3,2,0
-2,-2,2,7,2,-2,-1,-1
-2,-1,-3,-5,-8,-3,0,-3
-2,1,-3,0,-1,1,-7,0
0,-3,0,0,0,6,7,2
-3,1,-4,0,-2,-2,-1,1
-1,0,2,-6,-10,-5,-5,-2
1,0,-1,-2,-3,-4,-2,0
-1,0,-2,-3,1,5,1,1
0,0,0,1,-2,0,1,0
1,-2,-2,-5,-2,-1,2,1
0,2,1,5,2,0,-3,-2
-1,-2,0,-2,-4,3,1,0
0,-2,-1,-4,-2,-3,1,-2
-2,-1,2,5,1,1,1,-1
-1,1,-3,-4,-9,-1,-3,0
0,-3,-1,7,5,0,-1,-2
2,1,-4,-7,-4,2,-1,-1
1,0,-4,3,-1,0,1,-1
-2,0,4,4,1,-2,1,0
-1,-1,-4,-14,-8,0,1,0
1,-2,1,10,2,-1,0,-2
0,-1,-4,-3,-1,-1,-4,2
2,3,2,5,4,1,1,0
0,-1,3,5,2,-1,0,-2
-1,0,-2,2,1,0,0,-1
0,-3,-3,-17,-8,-2,1,0
-1,-2,-1,6,3,1,1,1
2,1,2,-1,4,0,-1,2
2,1,0,-15,-7,0,-1,0
-4,-3,-1,1,4,3,-1,-4
0,-2,-3,1,-3,0,0,1
5,3,-4,-8,-3,-3,3,1
-1,1,1,7,1,-1,-1,2
-7,-2,-1,-1,3,0,-2,-4
3,2,4,8,6,0,-3,0
-20,-15,-16,-37,-24,-1,-6,-4
7,1,1,4,1,-2,1,2
2,2,4,16,3,-3,-1,-1
